,Name,RA,Dec,Type,Date,Dist,Catalog
131,1ES 1727+502,17 28 18.6,+50 13 10,HBL,2011.11,z = 0.055,Default Catalog
132,HESS J1729-345,17 29 35,-34 32 22,UNID,2011.05,3.2 kpc,Default Catalog
133,HESS J1731-347,17 32 03,-34 45 18,Shell,2007.07,3.2 kpc,Default Catalog
134,HESS J1741-302,17 41 15.4,-30 22 37.4,UNID,2008.07,,Default Catalog
135,1ES 1741+196,17 44 01.2,+19 32 47,HBL,2011.08,z = 0.084,Default Catalog
136,HESS J1745-303,17 45 02.10,-30 22 14.00,SNR/Molec. Cloud,2006.01,,Default Catalog
137,Galactic Centre Ridge,17 45 39.6,-29 00 22,UNID,2006.02,8.5 kpc,Default Catalog
138,Galactic Centre,17 45 39.6,-29 00 22,UNID,2004.05,8.5 kpc,Default Catalog
139,HESS J1746-308,17 46 17.13,-30 50 28.0248,UNID,2018.04,,Default Catalog
140,VER J1746-289,17 46 19.71,-28 57 58.4,UNID,2015.07,,Newly Announced
141,HESS J1746-285,17 46 23.86,-28 52 33.4,UNID,2015.07,,Default Catalog
142,MAGIC J1746.4-2853,17 46 25,-28 52 55,UNID,2016.11,,Newly Announced
143,SNR G000.9+00.1,17 47 23.2,-28 09 06,PWN,2005.03,8.5 kpc,Default Catalog
144,Terzan 5,17 47 49,-24 48 30,Globular Cluster,2011.07,5.9 kpc,Default Catalog
145,OT 081,17 51 32.82,+09 39 00.73,LBL,2016.07,z = 0.322,Newly Announced
146,HESS J1800-240B,18 00 26.4,-24 02 20.4,SNR/Molec. Cloud,2008.04,2 kpc,Default Catalog
147,W 28,18 01 42.2,-23 20 06.0,SNR/Molec. Cloud,2008.04,2 kpc,Default Catalog
148,HESS J1800-240A,18 01 57.8,-23 57 43.2,SNR/Molec. Cloud,2008.04,2 kpc,Default Catalog
149,HESS J1804-216,18 04 31.2,-21 42 00,UNID,2005.03,6 kpc,Default Catalog
150,HESS J1808-204,18 08 37.3,-20 25 36.3,UNID,2012.07,,Default Catalog
151,HESS J1809-193,18 10 31,-19 18 00,UNID,2007.09,3.7 kpc,Default Catalog
152,HESS J1813-126,18 13 21.66,-12 41 13.6,UNID,2015.08,,Default Catalog
153,HESS J1813-178,18 13 36.0,-17 50 24,PWN,2005.03,4.7 kpc,Default Catalog
154,2HWC J1814-173,18 14 04.8,-17 18 36,UNID,2017.07,,Default Catalog
155,SNR G015.4+00.1,18 18 04.8,-15 28 01,Composite SNR,2011.12,4.8 kpc,Default Catalog
156,2HWC J1819-150*,18 19 19.2,-15 03 36,UNID,2017.07,,Default Catalog
157,HESS J1825-137,18 25 49,-13 46 35,PWN/TeV Halo,2005.03,3.9 kpc,Default Catalog
158,2HWC J1825-134,18 25 50.4,-13 24 00,UNID,2017.02,,Default Catalog
159,HESS J1826-130,18 26 00.2,-13 02 01.8,UNID,2015.07,3.5 kpc,Default Catalog
160,LS 5039,18 26 15,-14 49 30,Binary,2005.07,2.5 kpc,Default Catalog
161,HESS J1828-099,18 28 58.72,-09 59 33.8,UNID,2015.07,,Default Catalog
162,2HWC J1829+070,18 29 21.6,+07 01 48,UNID,2017.02,,Default Catalog
163,HESS J1831-098,18 31 25,-09 54 00,PWN,2011.1,,Newly Announced
164,HESS J1832-085,18 32 30,-08 30 41,UNID,2015.07,,Default Catalog
165,HESS J1832-093,18 32 50,-09 22 36,Binary,2011.1,,Default Catalog
166,HESS J1833-105,18 33 35,-10 34 18,PWN,2007.1,4.8 kpc,Default Catalog
167,HESS J1834-087,18 34 45.6,-08 45 36,UNID,2005.03,4 kpc,Default Catalog
168,MAGIC J1835-069,18 35 26.4,-06 56 24,UNID,2018.12,,Default Catalog
169,MAGIC J1837-073,18 37 21.6,-07 16 48,UNID,2018.12,,Default Catalog
170,2HWC J1837-065,18 37 26.4,-06 34 48,UNID,2017.02,,Default Catalog
171,HESS J1837-069,18 37 38.4,-06 57 00,PWN,2005.03,6.6 kpc,Default Catalog
172,HESS J1841-055,18 40 55,-05 33 00,UNID,2007.07,,Default Catalog
173,HESS J1843-033,18 43 48,-03 33 14,UNID,2008.07,,Default Catalog
174,2HWC J1844-032,18 44 16.8,-03 15 00,UNID,2017.02,,Default Catalog
175,HESS J1844-030,18 44 41.22,-03 05 34.6,UNID,2015.07,,Newly Announced
176,HESS J1846-029,18 46 24,-02 58 26,PWN,2007.1,6.3 kpc,Default Catalog
177,HESS J1848-018,18 48 29,-01 47 32.3,Massive Star Cluster,2008.07,5.3 kpc,Default Catalog
